"V1","RHOA (387)","SYNE1 (23345)","PRSS57 (400668)","FOXP1 (27086)","KIF20B (9585)","OR6C1 (390321)","KLHDC7A (127707)","SORCS3 (22986)","RPS6KA4 (8986)","NEFM (4741)","MET (4233)","SMAD2 (4087)","ZNF732 (654254)","ASTN1 (460)","RASA1 (5921)","ACTR10 (55860)","CEBPA (1050)","BCL2L11 (10018)","TSC2 (7249)","PCDHA12 (56137)","SCAF4 (57466)","TGFBR2 (7048)","CSMD2 (114784)","MB21D2 (151963)","ATM (472)","RAF1 (5894)","USF3 (205717)","BCL2 (596)","FBXW7 (55294)","CLK3 (1198)","TRAT1 (50852)","ZC3H4 (23211)","UGT3A2 (167127)","SPTA1 (6708)","AR (367)","CUEDC2 (79004)","ASXL3 (80816)","SETD2 (29072)","KDM6A (7403)","ZBED2 (79413)","NDUFS1 (4719)","LBR (3930)","OR4M1 (441670)","POT1 (25913)","JAK2 (3717)","SMARCD1 (6602)","NWD1 (284434)","MUC16 (94025)","KCNQ5 (56479)","CHEK2 (11200)","PDCD6IP (10015)","ABCA1 (19)","BRCA2 (675)","TP53 (7157)","HEXD (284004)","FBXL4 (26235)","PRKAG1 (5571)","UPF2 (26019)","DNMT3A (1788)","DHX15 (1665)","ARID1B (57492)","DSC3 (1825)","MYOCD (93649)","H3-3A (3020)","ZIM3 (114026)","CNOT3 (4849)","EBF2 (64641)","CHI3L2 (1117)","KCNA4 (3739)","SYT13 (57586)","SPOCK3 (50859)","RICTOR (253260)","SPOP (8405)","ZNF7 (7553)","FAM83B (222584)","RXRA (6256)","MAP3K4 (4216)","PIM1 (5292)","ABCC9 (10060)","SH3RF2 (153769)","NQO1 (1728)","RNF152 (220441)","CIC (23152)","RALB (5899)","ACACB (32)","LOXHD1 (125336)","BCL6 (604)","OR8D1 (283159)","PPP1R3A (5506)","DMXL2 (23312)","OR2A5 (393046)","MYO7B (4648)","U2AF1 (7307)","SACS (26278)","DST (667)","PIK3CD (5293)","PBRM1 (55193)","DNAJA4 (55466)","CDK4 (1019)","AMOT (154796)","H3C2 (8358)","ZSCAN20 (7579)","CHD4 (1108)","CNOT9 (9125)","NPAP1 (23742)","OR1N2 (138882)","ZNF615 (284370)","IRF3 (3661)","OR4A15 (81328)","ATRX (546)","MLLT10 (8028)","FGFR1 (2260)","LYST (1130)","KMT2D (8085)","PDSS1 (23590)","CARD11 (84433)","ERCC3 (2071)","GPR107 (57720)","FMN2 (56776)","FLACC1 (130540)","RAD50 (10111)","NFATC2 (4773)","TGFB1 (7040)","NLRP4 (147945)","ZHX3 (23051)","SRCIN1 (80725)","SF3B1 (23451)","PTP4A3 (11156)","HFM1 (164045)","ACVR1B (91)","ZNF180 (7733)","MLH1 (4292)","DENND4C (55667)","HCRTR2 (3062)","RTKN2 (219790)","DICER1 (23405)","EPHB1 (2047)","DCAF12L2 (340578)","ZDBF2 (57683)","IDH1 (3417)","CNTNAP2 (26047)","ALK (238)","ZNF534 (147658)","SOX30 (11063)","FGFR3 (2261)","SLCO6A1 (133482)","NFE2L2 (4780)","ZNF140 (7699)","FAM174C (55009)","MYCN (4613)"
"ACH-001509",0.8437,0.9026,0.8482,0.8437,1.1699,0.8673,0.8907,1.1699,1.1506,0.5792,1.1388,1.1036,0.8322,1.1405,0.8802,0.863,0.8482,0.8718,0.8487,0.8802,0.8599,0.8437,0.8907,1.4105,1.1506,0.8437,0.8568,1.1036,0.8058,1.2708,0.8568,0.8482,1.421,1.1405,0.5722,1.1699,1.1036,0.8437,0.5722,0.8568,0.5867,1.1405,0.863,1.1388,0.8193,0.8673,0.8482,0.8482,0.9136,0.8513,0.8437,1.8273,1.1446,1.1351,1.1614,0.9026,0.8673,0.5758,0.864,0.8322,0.9026,1.1036,1.1351,1.1405,0.8482,0.8482,0.5792,0.8907,1.1506,1.1506,0.8003,1.421,1.1614,1.9613,1.0142,1.8085,0.9026,0.8982,1.3912,0.8802,0.8562,1.1036,0.8482,0.8718,0.8673,1.1036,1.4105,1.1506,1.1388,1.2708,1.1388,0.8718,0.8599,1.1446,1.0142,0.8907,0.8437,1.2708,0.8673,0.5722,0.8982,0.8907,1.3912,0.5867,1.2708,1.8758,0.8482,0.8482,1.1506,0.5722,0.5758,0.5792,1.1405,0.8673,0.5758,2.256,0.8718,1.7985,1.1405,0.5867,0.8802,1.1321,0.8482,0.8482,1.7111,1.1614,0.5867,1.9613,0.8907,0.8673,0.8482,0.8437,0.8193,1.0142,1.1699,0.863,1.4213,0.5722,0.5867,0.5867,1.1388,0.864,0.8482,0.8563,0.8322,0.8802,0.5901,0.8673,0.8482,0.864
"ACH-000427",0.5315,1.0526,0.5345,0.5247,1.0561,1.0582,0.5876,1.0704,1.064,0.5313,0.5266,0.5304,0.5737,1.0507,1.0635,1.0567,1.4379,1.0592,1.0564,1.0611,1.044,0.5315,1.0526,1.1207,1.064,1.0629,1.0563,0.5292,1.0566,1.0574,1.0563,1.4379,0.6254,1.0507,0.5278,1.0704,0.5304,0.5315,0.5313,1.0563,1.0592,1.0507,0.5344,0.5252,1.0346,1.0582,1.0212,1.0212,1.0526,1.0507,0.5315,1.0587,1.0531,0.525,1.0621,1.0526,1.0582,1.05,1.0594,0.5737,1.0526,0.5304,0.525,1.0507,1.4379,1.4379,0.5313,1.0526,0.5328,0.6032,1.0566,0.6203,1.0565,1.594,1.4102,1.0587,1.0526,0.5323,1.0582,1.0611,1.0564,0.5292,1.4379,1.0592,1.0582,0.5304,1.1207,1.064,0.5266,1.0574,0.5187,1.0592,0.5323,1.0531,0.5399,0.5876,0.5315,1.0574,1.0582,0.5273,0.5323,1.0526,1.0582,1.0592,1.0574,1.0587,1.4379,1.4379,1.0811,0.5197,1.05,0.5313,1.0507,1.0582,1.05,1.0521,1.0592,1.0587,1.0507,1.0592,1.0611,1.0793,1.4379,1.4379,1.0793,4.6784,1.0592,1.594,1.0526,1.0582,1.4379,0.5315,1.0593,1.5808,1.0561,0.5252,1.0563,0.5273,1.0592,1.0592,0.5187,1.0594,1.4379,1.0485,0.5737,1.0611,1.0592,1.0582,0.5345,1.0594
"ACH-000778",0.7572,0.7661,0.7272,0.7572,1.4215,1.1059,0.9858,1.0858,1.1263,0.7686,0.7637,0.3832,0.7541,1.1601,1.1141,1.5045,0.8508,0.7675,0.7463,1.1342,0.7619,0.7572,1.1479,1.1465,0.7646,0.3764,1.1301,0.3807,0.7647,0.7642,0.7824,0.8508,1.5011,1.1295,0.761,1.0593,0.3832,0.7572,0.3827,1.1986,0.7669,1.1119,1.5045,0.7637,1.2339,1.1059,0.7209,0.7272,0.7631,1.7253,0.7572,1.1184,1.1335,1.3579,1.1162,0.7631,1.1059,1.0994,1.0483,0.7632,0.7661,0.3832,1.3579,1.1119,1.0305,1.0305,0.7686,1.1582,1.4769,1.4769,1.1385,1.5011,1.1162,1.3214,1.7662,1.4727,0.7661,0.7538,1.1874,1.1342,0.7578,0.3807,0.8508,0.7675,1.1127,0.3832,1.1465,0.7646,0.7637,0.7642,0.7637,0.7675,0.7619,1.1335,1.1627,0.9858,0.7572,0.7642,1.1059,0.761,1.1519,1.1479,1.1874,0.7669,1.0578,1.4727,1.0305,0.8508,0.3706,0.761,1.0994,0.7686,1.1119,1.1059,1.0994,1.1016,0.7675,1.4727,1.1119,0.7669,1.1372,1.1375,0.8508,1.0305,1.2143,1.1162,0.7669,1.3214,1.1479,1.1059,0.8508,0.7572,1.2667,1.7662,1.4215,1.48,1.1501,0.761,0.7669,0.7669,0.7637,1.0483,1.0305,1.1023,0.7541,1.1141,0.7669,1.3315,0.7272,1.0483
"ACH-000355",0.8118,1.1846,0.758,0.6996,0.8285,1.0315,1.1742,0.8285,0.7899,1.2124,1.1633,0.9891,0.8235,1.6533,0.8252,6.05,1.127,1.1766,0.9951,0.7769,1.3563,0.7854,1.1742,1.398,0.8509,0.8193,1.4702,0.9286,0.8206,1.0343,1.4702,1.127,0.8244,1.3926,0.8664,0.8285,0.9891,0.7657,0.8353,1.4702,1.2402,1.4513,0.8043,1.0909,0.7981,1.1412,1.4783,0.758,0.8464,0.7836,0.7913,0.9243,1.4258,1.2651,1.1444,0.8526,1.1412,0.8241,1.1814,0.8794,1.1846,0.9891,1.2651,1.4513,0.9547,0.8741,1.2124,1.2557,0.851,0.851,0.8206,0.7253,1.279,1.1695,1.286,0.8919,1.1846,1.1117,1.2616,0.8662,0.9487,0.9891,1.127,1.2709,1.0562,0.9891,1.3632,0.8509,1.1633,1.0343,1.0909,1.2709,1.1512,1.4258,1.286,1.1659,0.8118,1.0343,1.0315,0.8664,1.0545,1.1742,1.1681,1.1101,1.0462,0.8919,0.8741,1.0146,0.9957,0.8664,0.7873,1.2124,1.4513,1.1412,0.7873,1.063,1.2709,0.8919,1.4513,1.2402,0.7378,1.2098,1.127,0.9547,1.3455,1.1223,1.1875,1.1695,1.2557,1.1412,1.127,0.7613,0.9066,1.286,0.7989,0.8102,1.3424,0.8664,1.2402,1.2402,1.0909,1.1814,0.8741,0.8662,0.8235,0.8252,1.2957,1.4135,0.758,1.2932
"ACH-000653",1.1112,0.7781,1.1085,1.196,0.7647,0.7798,1.0883,0.844,1.0132,0.7844,0.8426,1.5903,1.0214,1.565,1.2139,0.7931,1.0779,0.7806,0.7134,1.1339,1.1627,1.1375,1.1567,1.1481,1.4012,1.135,1.1597,1.5903,1.1531,0.8383,1.1548,1.6044,1.9669,1.565,0.4062,0.7647,1.5903,1.1112,0.4009,1.2567,0.793,0.7752,0.7931,0.8426,0.7876,0.7798,1.1592,1.1516,1.348,1.0432,1.1375,0.8196,0.7545,0.3735,1.0905,0.7932,0.7798,0.7892,1.1355,1.1626,0.7781,1.5903,1.0534,0.7752,1.0346,1.077,0.7844,1.581,0.7794,1.7919,1.1933,1.9516,1.0999,2.1122,1.4365,0.7147,0.7705,1.3457,0.7911,1.1249,1.1864,1.5903,1.1271,0.7806,0.7891,1.5903,1.0836,1.4323,0.8426,0.883,0.8094,0.7806,1.0809,0.7545,1.4365,1.1343,1.1112,0.8816,0.7798,0.4062,1.2905,1.1567,0.7925,0.793,0.8607,0.7638,1.077,1.077,1.3179,0.4062,0.8237,1.9208,0.7752,0.7798,0.714,1.5512,0.7806,0.7638,0.7752,0.793,1.1172,1.2219,1.1271,1.0346,1.1834,1.1415,0.793,2.1122,1.1698,0.7798,1.1271,1.1112,0.7876,1.4365,0.7647,0.7815,1.1207,0.4062,0.793,0.793,0.8094,0.7697,1.077,1.147,1.0922,1.1582,0.7806,0.7088,1.1085,1.2068
"ACH-000764",1.0571,1.1615,0.6407,0.6749,0.7365,0.6982,0.8317,0.715,0.8567,0.6729,1.2625,0.5005,0.9943,0.8978,1.0829,1.3081,1.0719,0.9313,1.0992,1.0617,1.2955,1.1431,0.8317,1.0587,0.7018,1.1431,1.1149,0.5005,0.7257,1.252,0.7087,1.047,1.2212,0.8436,0.8448,0.6748,1.4714,1.0571,0.6956,0.7087,1.0682,0.8669,0.901,1.2625,0.506,1.0524,0.8727,0.6407,1.4471,1.1525,1.1431,1.3335,0.8674,0.8548,1.0786,1.2139,1.0524,1.6266,1.082,0.7438,1.1222,1.4714,0.8548,0.8669,1.0193,1.047,0.6729,1.0918,1.4646,1.3664,0.7257,1.2212,1.064,1.5898,1.2168,1.1618,1.1222,1.0563,2.3603,1.0617,0.739,0.5005,1.047,0.9313,0.6827,0.5005,1.0587,0.9755,1.2625,1.252,1.3357,0.9313,1.2341,0.8674,1.2168,0.8385,1.0571,1.252,1.2176,0.7543,1.0563,0.8317,2.182,1.0682,1.3491,1.1618,1.047,1.047,1.1555,0.7543,1.6508,1.4083,0.8669,1.0524,1.483,1.1747,0.9313,1.1618,0.8669,1.0827,1.0617,1.8174,1.047,1.0193,1.4451,1.1019,1.0827,1.5898,1.414,1.0524,1.047,1.0571,0.506,1.2168,0.9455,1.2437,1.0587,0.7543,1.0682,1.0682,1.3357,1.082,1.047,1.0536,0.9943,1.0829,1.0827,0.9803,0.6407,0.6799
"ACH-000738",1.2433,0.698,0.8708,1.4336,1.4172,1.0634,1.246,1.4319,0.9492,0.6986,1.1766,1.0251,0.9041,1.0616,1.1252,1.078,0.8649,1.0173,1.1704,0.9489,1.2673,1.2209,1.246,1.116,1.1722,1.0178,0.7827,1.0786,0.7368,0.9632,0.7827,0.8837,1.0643,1.0184,0.7132,1.246,1.1264,1.2433,0.6607,0.7827,0.7334,1.0678,1.2169,1.1524,0.3632,1.2896,0.8708,0.8708,1.2318,1.2036,1.0574,1.2351,0.67,0.8835,0.9149,0.8176,1.2896,1.0141,0.9725,0.7495,0.6988,1.061,1.2486,0.9691,0.8392,0.8837,0.6986,1.3673,1.2875,0.9789,0.765,1.0643,1.2294,1.146,1.2279,0.8998,0.6988,1.0186,1.5549,1.0146,0.6271,1.0786,0.8837,0.6928,1.2193,1.0251,1.0596,0.7322,1.1671,0.9703,1.0312,0.6928,0.6507,0.6906,1.3364,1.2117,1.2433,0.9632,3.024,0.7422,0.9945,1.246,1.3037,0.7051,1.3388,0.9902,0.8837,0.8837,1.242,0.7132,1.0141,0.6986,0.9943,1.2896,1.0141,1.7471,0.6928,0.8998,1.0976,0.6524,0.9264,1.3402,0.8837,0.8837,0.7938,1.2294,0.7309,1.146,1.3133,0.6301,0.8837,1.0245,0.7194,1.2279,1.5486,0.9811,1.0593,0.7422,0.7334,0.7334,1.0018,0.9725,0.8837,0.9351,0.9041,1.0709,0.6981,1.2193,0.8708,1.1005
"ACH-000024",0.9683,0.9615,1.2148,0.9683,0.9784,1.0107,0.904,0.9778,1.2448,1.2692,1.2676,1.2747,1.2715,2.0462,1.0143,0.656,1.1951,0.9728,1.2573,0.6828,0.9247,0.993,0.904,0.9665,1.2889,0.993,0.9975,1.2753,1.2943,0.9699,0.9975,1.1951,1.582,2.5313,0.9871,0.8947,1.2747,0.9683,0.6555,0.9975,0.9728,1.5383,0.656,1.2676,0.9816,0.9521,1.2148,1.2148,0.9979,0.9211,0.993,0.9914,0.9121,0.5964,0.9585,0.9979,0.9521,1.5598,0.94,1.3653,0.9615,1.2747,1.2018,1.5383,1.1558,1.1951,1.2692,0.325,1.3193,1.3193,1.2943,1.582,0.9445,0.6634,0.9951,0.5886,0.9615,0.9107,1.3134,0.6828,1.2908,1.2753,1.1951,0.9728,0.9591,1.2747,0.9665,1.2889,1.2676,0.9699,1.2676,0.9728,0.9247,0.9121,0.9951,0.9099,0.9683,0.9699,1.0107,1.0114,0.9107,0.904,1.3134,0.9728,0.9683,0.9914,1.1951,1.1951,1.5846,0.994,1.5801,1.2692,1.5383,0.9521,1.5014,0.651,0.9728,0.9102,1.5383,0.9728,0.6828,1.269,1.1951,1.1558,1.4266,0.9445,0.9728,0.6634,0.9798,0.9521,1.1951,0.9683,0.9892,0.9951,0.9789,1.3208,0.9665,1.0114,0.9728,0.9728,1.2676,0.94,1.1951,0.6828,1.2715,0.6979,0.9728,1.2631,1.2148,1.0662
"ACH-000022",0.9747,0.8358,1.0075,0.943,1.0783,1.1028,0.657,1.1915,1.2339,0.6692,1.3722,0.8711,0.981,1.0062,1.0314,1.3187,1.295,1.0403,1.0304,1.0609,0.6473,1.1912,0.657,1.4902,1.2339,1.1912,1.1624,0.6626,0.6584,1.3382,1.1554,1.0586,1.2191,0.9996,0.9429,1.1915,0.8711,0.9248,0.9163,1.1554,1.0403,0.9892,0.6882,1.3722,0.331,1.1028,1.0291,0.6799,0.9763,0.6501,1.1912,1.0045,1.2142,0.7616,0.6446,0.9718,1.2051,1.0644,1.0434,0.9803,0.8358,0.8705,0.3531,0.9892,0.9477,0.9331,0.6692,0.657,1.2411,1.2411,0.6584,1.2191,1.3982,1.4384,1.0421,0.9966,0.8358,0.9557,0.6619,1.133,1.0173,0.6626,0.6596,1.0403,1.1049,0.8711,1.4902,1.2339,1.3722,1.3516,1.2864,1.0403,0.6473,1.2142,1.0421,0.6623,0.9747,1.3382,1.1028,0.9429,0.95,0.657,0.6665,1.0403,0.6393,0.9882,0.9331,1.0586,1.4868,0.9429,1.0644,1.5107,0.9892,1.2051,1.0644,0.6529,1.0403,0.9966,0.9892,1.0403,1.0609,2.7833,0.6596,0.9477,1.3184,0.6657,1.0403,1.4384,0.657,1.1028,0.6596,1.1912,0.3454,1.0421,1.0783,1.3187,1.1624,0.9429,1.0403,1.0403,1.2864,1.0434,0.9331,1.0678,0.981,1.0314,1.0403,1.1049,1.0075,1.0434
"ACH-000226",0.9698,0.9911,0.9319,0.9622,0.9893,0.994,0.9414,0.9893,0.9622,1.0052,1.0342,1.0202,1.005,1.4992,1.4585,0.9911,0.9349,1.009,0.984,1.4502,0.9703,1.0491,0.9414,0.9963,1.0098,1.0491,0.995,1.0202,0.999,0.9657,0.995,0.9356,1.4875,1.4235,1.2993,0.9893,1.0202,0.9698,0.8097,0.995,0.9929,1.9786,0.9911,1.0342,0.5135,0.994,1.3755,1.3755,0.9944,0.9527,1.0491,1.0346,0.9644,0.9291,1.4008,1.0289,0.994,1.0007,0.9872,1.4651,0.9911,1.0202,0.9291,1.9786,0.864,0.864,1.0052,0.9826,0.984,0.984,0.999,1.4875,0.9341,1.4137,1.0191,0.9463,0.9911,1.376,1.0025,1.5786,0.9925,1.0202,0.9356,1.009,0.994,1.0202,0.995,1.0098,1.0342,0.9657,0.9836,1.009,0.9703,0.9644,1.0191,0.9499,0.9698,0.9657,0.994,1.2993,1.3348,0.9414,1.0025,0.9929,0.9657,0.9463,0.864,0.9356,1.2235,1.2993,1.0007,1.0052,1.9786,0.994,1.0007,1.4482,1.009,0.9463,1.9786,0.9929,1.4502,0.9857,0.9356,0.864,0.9857,0.9341,0.9929,1.4137,0.9826,0.994,0.9356,0.9698,0.5121,1.0191,0.9893,0.9911,0.995,1.2993,0.9929,0.9929,0.9836,0.9872,0.864,1.4415,1.005,1.4777,1.009,0.994,0.9319,0.9872
"ACH-000320",1.2335,0.755,0.6753,0.9267,1.6689,1.0404,0.6745,1.5728,1.0218,0.7311,0.8476,0.7374,1.0019,1.4676,1.2463,1.1475,1.0448,0.7842,0.991,1.1105,1.0243,1.3825,1.2758,0.7204,1.2342,1.0462,1.0827,0.4054,0.8113,0.6965,1.2031,1.0326,1.1658,1.2672,0.8302,1.3451,0.8338,1.2335,0.7533,1.2031,1.1438,1.2503,1.0951,0.8476,0.7734,1.0404,1.047,1.0365,0.8305,0.6927,1.3017,1.4549,0.7158,0.6838,0.9844,0.836,1.0404,0.7482,1.3001,1.2297,0.755,0.8338,0.6838,1.2503,0.9673,0.9657,0.7311,1.3059,1.3484,1.0368,0.8119,1.1658,0.9917,1.0243,0.8164,1.2312,0.7545,0.6918,1.2264,1.1948,1.0606,0.4054,0.9492,0.7842,1.0506,0.7374,0.7204,1.1619,0.8476,1.0502,0.7534,0.7842,1.0741,0.7158,0.8164,0.7007,1.2335,0.6965,1.186,0.8302,0.6918,1.2758,1.1044,1.1114,1.4865,1.2312,0.9657,1.3397,1.4985,0.8302,0.7753,0.7901,1.2503,1.0404,0.7003,0.7142,0.7842,1.2312,1.3762,1.1438,1.0693,2.393,0.9492,0.9673,1.3265,0.9917,1.1438,1.0243,1.3942,1.0404,1.0326,1.3237,0.4059,0.8164,0.8099,1.1062,1.1303,0.8236,1.1438,1.1438,0.7534,1.4123,0.9657,1.1152,1.0019,1.2216,1.0911,1.0248,0.6753,1.562
"ACH-000830",0.4936,1.0186,1.0147,0.5955,1.0064,0.9931,0.9631,1.0064,0.9556,1.0323,1.0771,1.0665,0.9472,0.9921,1.0328,1.0394,0.969,1.0385,0.9464,1.016,0.9956,0.5645,0.9631,1.4666,1.038,0.5214,1.5254,1.0665,1.0243,0.9818,1.5254,0.969,1.0051,0.9579,1.0244,1.0064,1.1473,0.4936,0.4952,1.5254,1.0663,1.4811,1.0394,1.0771,1.0536,0.9931,1.0147,1.0147,1.0099,0.9759,0.5645,1.0755,0.5338,0.9554,1.4087,1.05,0.9931,0.9979,0.9843,1.0158,1.0186,1.0149,0.9554,1.4811,1.3528,1.4336,1.0323,0.986,1.0295,1.0295,1.0243,1.0051,1.3953,1.4791,1.0723,0.9731,1.0101,0.9393,1.0261,1.0983,1.0371,1.0665,0.969,1.0385,1.053,1.0665,1.4666,1.038,1.0771,0.9818,1.0206,1.0385,1.0221,0.5338,1.0007,0.9798,0.4936,0.9818,0.9931,1.0941,0.9393,0.9631,1.0261,1.0663,0.996,0.9731,1.4336,1.4336,1.1864,1.0941,1.0739,1.0323,1.4811,0.9931,0.955,1.0396,1.0385,0.9731,1.4811,1.0385,1.016,1.0066,0.969,1.3528,1.0303,1.3953,1.0385,1.4791,1.0605,0.9931,0.969,0.4936,1.0329,1.0723,1.0872,1.0179,1.4893,1.0941,1.0663,1.0663,1.0206,0.9843,1.4336,1.0857,0.9472,1.0328,1.0385,1.053,1.0147,1.0425
"ACH-001987",0.9884,0.9894,0.9003,0.9884,0.4894,0.9839,0.9458,0.4894,0.9763,0.982,2.0054,0.9835,0.951,1.3629,0.5174,0.9786,0.9397,0.987,0.9408,1.0014,0.9766,0.9884,0.9458,0.9884,0.9831,0.9884,0.9884,0.9835,0.5031,0.975,0.9884,0.9397,1.0068,1.4666,0.4895,0.4894,0.9835,0.9884,0.4895,0.9884,0.987,1.4289,0.9786,1.9855,1.4878,0.9839,0.9003,0.9003,0.4947,1.711,0.9884,1.4816,0.9807,0.9412,0.9493,0.4947,0.9839,0.9753,0.4919,0.9847,0.9894,0.9835,0.9412,1.4289,0.9397,1.412,0.982,0.9856,0.9763,0.9763,0.9837,1.0068,0.9493,0.8881,1.4878,0.9319,0.9894,1.4608,0.9839,1.0014,0.9631,0.9835,0.9397,0.987,0.9906,0.9835,0.9884,0.9831,1.9801,0.975,1.9695,0.987,0.9766,0.9807,0.722,0.9458,0.9884,0.975,0.9839,0.4895,1.4608,0.9458,0.9839,0.987,0.975,0.9319,0.9427,0.9397,0.9763,0.4895,0.9753,0.982,1.4289,0.9839,0.9753,1.8729,0.987,0.9319,1.0657,0.987,1.0014,1.4448,0.9397,0.9397,1.4725,0.9493,0.987,0.8881,0.9856,0.9839,0.9397,0.9884,0.9966,1.3995,0.9753,0.9786,0.9884,0.4895,0.987,0.987,1.9441,0.9884,0.9427,1.0014,0.951,0.5174,0.987,0.9423,0.9003,0.4919
"ACH-000317",0.7951,0.5687,1.0279,1.0806,0.6762,1.1092,0.5324,0.6762,1.084,0.5525,1.7126,0.9756,1.3129,1.3391,0.9618,0.553,1.0279,0.9033,1.0519,1.3145,1.0818,0.7951,1.2391,1.2065,0.5602,0.7951,0.7365,0.9756,0.9009,1.0406,0.7365,1.0279,0.8755,1.449,0.5392,0.6762,0.9756,0.7951,0.4222,0.7365,0.9065,1.3262,0.5682,1.7359,1.1359,1.1049,1.0279,1.0279,0.5898,0.9946,0.7951,1.0689,0.4494,1.0616,1.5793,0.5931,1.1049,0.9191,0.6608,1.3129,0.5617,0.9756,1.0616,1.3262,1.0279,1.0279,0.5525,1.3117,1.1139,1.1139,0.9009,0.8755,1.075,1.1197,0.578,1.0172,0.5617,0.5483,1.1049,1.7388,1.0519,0.9756,1.0279,0.9033,1.0562,0.9756,1.2186,0.5602,1.7126,1.0406,1.6829,0.9033,1.0818,0.6587,0.578,0.5405,0.7951,1.0406,1.1092,0.5392,0.5483,1.2391,1.1049,0.8953,1.0406,1.0689,1.0279,1.0279,1.1139,0.5392,1.1668,1.1197,1.3254,1.1049,1.1668,1.5563,0.9033,1.0172,1.3254,0.9065,1.2376,1.0604,1.0279,1.0279,1.0604,1.0616,0.9462,1.1197,1.3117,1.1092,1.0279,0.7951,0.5603,0.578,1.26,0.5465,1.2448,0.5392,0.9065,0.9065,1.6619,0.8847,1.0279,1.7388,1.3129,1.097,0.9191,1.0562,1.0279,0.6608
"ACH-000337",0.8529,1.3802,0.7714,0.8732,0.838,1.1001,0.9805,0.838,1.0719,0.5606,0.9537,0.5818,0.8202,1.0105,1.0709,1.3439,0.9613,0.848,1.2305,1.1587,1.0542,0.8529,0.9805,1.4642,0.8359,0.8529,1.1766,0.5474,0.8871,1.0408,1.1766,0.9613,2.4883,1.0105,0.3032,0.838,0.842,0.8529,0.2909,1.1766,1.0457,1.0105,1.3507,0.9537,0.5598,1.1001,0.7714,0.7714,1.3602,1.078,0.8529,1.0873,1.1018,0.7736,1.213,1.4235,1.1001,0.5411,1.2511,0.8892,1.3802,0.842,0.7736,1.0105,0.9613,0.9613,0.5606,1.0618,1.0776,1.0776,1.0575,2.3212,1.2571,1.386,0.8709,1.058,1.3802,0.7879,1.0994,1.1587,0.5603,0.5474,0.9613,0.848,1.1208,0.842,0.958,0.8359,0.9537,1.0408,0.9161,0.848,1.0511,1.1018,0.8709,0.9466,0.8529,1.0408,1.1001,0.8158,0.7879,0.9805,1.0822,1.0457,1.2821,1.058,0.9613,0.9613,0.9617,0.2919,0.5411,0.5606,1.0105,1.1001,0.5411,1.3638,0.848,1.058,1.0105,1.0457,1.1587,1.358,0.9613,0.9613,0.8005,0.5272,1.0457,1.386,1.0618,1.1001,0.9613,0.8529,0.5738,0.8709,0.838,1.3226,1.2185,0.8158,1.0457,1.0457,0.9161,1.2516,0.9613,1.1587,0.8202,1.0709,1.0457,1.1208,0.7714,1.6334
"ACH-002065",1.0462,1.1466,0.9919,1.0462,1.069,1.0634,1.0068,1.069,1.0238,1.0446,1.0825,1.0669,0.9968,1.0584,1.129,1.0648,0.5387,1.0776,1.0006,1.0644,1.0012,1.0462,1.0068,1.0673,1.0962,1.0462,1.1257,1.0669,0.5481,1.0351,1.1257,0.5387,1.0808,1.0584,0.5229,1.069,1.0669,1.0462,0.5229,1.1257,1.102,1.0282,1.0648,1.0825,1.0804,1.0634,0.9919,0.9919,1.0978,0.5338,1.0462,1.033,0.9719,0.9883,1.0081,1.0978,1.0634,0.9896,0.7893,1.0679,0.595,1.0669,0.9883,1.0282,0.5387,0.5387,1.0446,1.0536,1.0689,1.0689,0.5481,1.0808,1.0183,1.3536,1.0978,0.9731,0.5063,1.014,1.0634,1.0644,1.0291,1.0669,0.5387,1.0875,1.0109,1.0669,1.0673,1.0346,1.0825,1.0351,0.9787,1.0875,1.0012,0.9719,1.0978,1.0068,1.0462,1.0351,1.0634,0.5229,1.014,1.0068,1.0634,1.102,1.0351,1.033,0.5387,0.5387,1.0659,0.5229,1.023,1.0446,1.0282,1.0634,1.023,1.4413,1.0875,0.9731,1.0282,0.9023,1.0644,1.0168,0.5387,0.5387,1.0168,1.0183,1.1633,1.3536,1.1072,1.0634,0.5387,1.0462,1.0804,1.0978,1.069,0.9953,1.0673,0.5229,1.102,1.102,0.9787,0.9508,0.5387,1.0644,0.9968,1.129,0.5749,1.0109,0.9919,0.5574
